pvc_lemmas,file_path,row,is_phrasal,annotator_agreement_percentage,sents,aligned_idxs,verbs_fixed,sent_string,verb_string
"['do', 'up']",K/KB/KBB.xml,2349,false,1.0,"['When', 'we', 'were', 'first', 'married', 'and', 'coming', 'across', 'there', 'then', 'he', 'says', 'blimey', 'Taffy', 'what', 'you', 'doing', 'up', 'here', '?']","[16, 17]","['doing', 'up']",When we were first married and coming across there then he says blimey Taffy what you doing up here ?,doing up
"['take', 'on']",A/AP/APJ.xml,99,true,1.0,"['Children', 'have', 'been', 'taken', 'on', 'by', 'the', 'Institute', 'and', 'given', 'trial', 'periods', '.']","[3, 4]","['taken', 'on']",Children have been taken on by the Institute and given trial periods .,taken on
"['get', 'off']",J/JY/JY1.xml,1946,false,0.7968,"['She', 'discovered', 'she', 'was', 'a', 'split', 'second', 'too', 'late', 'in', 'making', 'a', 'hurried', 'scramble', 'to', 'get', 'off', 'the', 'bed', ',', 'because', ',', 'in', 'the', 'next', 'instant', ',', 'Naylor', 'was', 'there', 'with', 'her', ',', 'pinning', 'her', 'down', 'with', 'his', 'body', '.']","[15, 16]","['get', 'off']","She discovered she was a split second too late in making a hurried scramble to get off the bed , because , in the next instant , Naylor was there with her , pinning her down with his body .",get off
"['get', 'out']",K/KB/KBC.xml,4589,true,1.0,"['Did', ""n't"", 'get', 'out', 'till', 'half', 'past', 'four', '.']","[2, 3]","['get', 'out']",Did n't get out till half past four .,get out
"['get', 'out']",C/CM/CME.xml,1576,true,0.6466,"['It', ""'s"", 'so', 'easy', 'for', 'problems', 'to', 'get', 'out', 'of', 'proportion', 'most', 'conflicts', 'can', 'be', 'overcome', 'by', 'thoughtful', 'action', '.']","[7, 8]","['get', 'out']",It 's so easy for problems to get out of proportion most conflicts can be overcome by thoughtful action .,get out
"['get', 'out']",A/AR/ARB.xml,902,true,0.6767,"['Then', 'of', 'course', ',', 'when', 'they', ""'ve"", 'eaten', 'they', 'ca', ""n't"", 'get', 'out', 'again', '.']","[11, 12]","['get', 'out']","Then of course , when they 've eaten they ca n't get out again .",get out
"['get', 'at']",K/KE/KE2.xml,141,true,0.6853,"['No', ',', 'no', ',', 'not', ',', 'not', 'sort', 'of', 'getting', 'at', ',', 'anyway', 'I', 'had', 'just', 'said', 'that', 'to', 'father', 'you', 'see']","[9, 10]","['getting', 'at']","No , no , not , not sort of getting at , anyway I had just said that to father you see",getting at
"['take', 'on']",E/EE/EEB.xml,1541,false,0.6536,"['The', 'information', 'should', 'be', 'clearly', 'presented', 'and', 'it', 'should', 'be', 'plain', 'to', 'the', 'audience', ':', 'what', 'the', 'topic', 'is', ';', 'why', 'you', 'have', 'chosen', 'it', ';', 'what', 'view', 'you', 'take', 'on', 'the', 'matter', ';', 'and', 'why', 'you', 'have', 'arrived', 'at', 'any', 'particular', 'conclusions', '.']","[29, 30]","['take', 'on']",The information should be clearly presented and it should be plain to the audience : what the topic is ; why you have chosen it ; what view you take on the matter ; and why you have arrived at any particular conclusions .,take on
"['make', 'for']",G/GX/GXG.xml,3255,false,0.6814,"['In', 'short', ',', 'all', 'existing', 'and', 'future', 'minerals', 'planning', 'permissions', 'must', 'be', 'brought', 'up', 'to', 'the', 'environmental', 'standards', 'expected', 'today', ',', 'and', 'provision', 'must', 'be', 'made', 'for', 'a', 'regular', 'upgrading', 'of', 'standards', 'in', 'the', 'future', '.']","[25, 26]","['made', 'for']","In short , all existing and future minerals planning permissions must be brought up to the environmental standards expected today , and provision must be made for a regular upgrading of standards in the future .",made for
"['make', 'over']",B/B2/B2P.xml,1211,false,1.0,"['If', 'he', 'used', 'a', 'modal', 'legacy', ',', 'it', 'would', 'take', 'the', 'following', 'form', ':', 'I', 'leave', 'A', 'the', 'sum', 'of', 'ten', 'thousand', 'denarii', ',', 'so', 'that', 'he', 'can', 'make', 'over', 'five', 'thousand', 'to', 'B', '.']","[28, 29]","['make', 'over']","If he used a modal legacy , it would take the following form : I leave A the sum of ten thousand denarii , so that he can make over five thousand to B .",make over
"['get', 'on']",F/F7/F7C.xml,812,false,1.0,"['review', ',', 'erm', ',', 'subject', 'to', 'getting', 'on', 'commission', 'from', 'the', 'cast', 'and', 'director']","[6, 7]","['getting', 'on']","review , erm , subject to getting on commission from the cast and director",getting on
"['get', 'on', 'with']",J/JY/JYE.xml,3411,true,1.0,"['The', 'only', 'thing', 'to', 'do', 'was', 'to', 'hold', 'her', 'emotions', 'in', 'check', 'and', 'get', 'on', 'with', 'her', 'work', '.']","[13, 14, 15]","['get', 'on', 'with']",The only thing to do was to hold her emotions in check and get on with her work .,get on with
"['get', 'at']",K/KL/KLX.xml,7,false,0.9122,"['Well', 'you', 'see', 'especially', 'as', 'well', 'with', 'the', 'typewrite', 'we', ""'ve"", 'got', 'at', 'the', 'moment']","[11, 12]","['got', 'at']",Well you see especially as well with the typewrite we 've got at the moment,got at
"['get', 'off']",E/EW/EW4.xml,587,true,0.6649,"['Such', 'MPs', 'would', ',', 'it', 'is', 'true', ',', 'know', 'that', 'territory', 'better', 'than', 'any', 'incoming', 'outsider', ',', 'and', 'being', 'known', 'there', 'would', 'presumably', 'get', 'off', 'to', 'a', 'flying', 'start', 'in', 'the', 'pursuit', 'of', 'popularity', '.']","[23, 24]","['get', 'off']","Such MPs would , it is true , know that territory better than any incoming outsider , and being known there would presumably get off to a flying start in the pursuit of popularity .",get off
"['give', 'in']",C/CB/CBF.xml,13396,true,1.0,"['He', 'was', 'under', 'immense', 'pressure', 'from', 'the', 'US', 'to', 'give', 'in', 'and', 'back', 'no', 'holds', 'barred', 'military', 'action', 'by', 'UN', 'forces', 'in', 'the', 'former', 'Yugoslav', 'republic', '.']","[9, 10]","['give', 'in']",He was under immense pressure from the US to give in and back no holds barred military action by UN forces in the former Yugoslav republic .,give in
"['make', 'for']",B/B2/B2C.xml,1381,false,0.3534,"['This', 'is', 'listed', 'separately', 'under', 'column', ',', 'but', 'this', 'distinction', 'is', 'not', 'made', 'for', 'the', 'in', 'situ', 'teeth', '.']","[12, 13]","['made', 'for']","This is listed separately under column , but this distinction is not made for the in situ teeth .",made for
"['get', 'out']",K/KR/KRT.xml,4272,false,0.7133,"['I', ""'m"", 'not', ',', 'I', ""'m"", 'not', 'just', 'blaming', 'them', 'all', 'the', 'time', ',', 'I', 'mean', ',', 'the', 'situation', 'is', ',', 'when', 'they', 'go', 'out', 'on', 'the', 'field', ',', 'they', 'are', 'their', 'own', 'men', ',', 'I', 'ca', ""n't"", 'do', 'anything', 'about', 'there', ',', 'I', 'ca', ""n't"", 'talk', 'for', 'them', 'out', 'there', ';', 'I', 'can', 'only', 'put', 'it', 'on', 'in', 'training', ',', 'and', 'when', 'they', 'get', 'out', 'there', ',', 'they', ""'ve"", 'got', 'to', 'do', 'it', 'theirselves', '.']","[64, 65]","['get', 'out']","I 'm not , I 'm not just blaming them all the time , I mean , the situation is , when they go out on the field , they are their own men , I ca n't do anything about there , I ca n't talk for them out there ; I can only put it on in training , and when they get out there , they 've got to do it theirselves .",get out
"['get', 'out']",H/H9/H9D.xml,1721,false,1.0,"['She', 'smiled', 'at', 'him', 'cheerily', 'and', 'opened', 'the', 'gate', 'as', 'he', 'got', 'out', 'of', 'his', 'car', '.']","[11, 12]","['got', 'out']",She smiled at him cheerily and opened the gate as he got out of his car .,got out
"['get', 'on']",F/F9/F9R.xml,208,true,0.6781,"['You', 'see', ',', 'it', 'appears', 'that', 'they', 'got', 'on', 'well', 'enough', '.']","[7, 8]","['got', 'on']","You see , it appears that they got on well enough .",got on
"['make', 'for']",A/A6/A6J.xml,759,false,1.0,"['Maggie', ""'s"", 'room', ',', 'her', 'own', 'place', ',', 'had', 'been', 'made', 'for', 'her', 'the', 'summer', 'she', 'was', 'eight', 'by', 'Phoebe', ',', 'Paul', 'and', 'Uncle', 'Wong', '.']","[10, 11]","['made', 'for']","Maggie 's room , her own place , had been made for her the summer she was eight by Phoebe , Paul and Uncle Wong .",made for
"['take', 'on']",C/CK/CKA.xml,295,true,1.0,"['On', 'Hong', 'Kong', 'this', 'year', 'it', 'took', 'on', 'a', 'slightly', 'different', 'connotation', '.']","[6, 7]","['took', 'on']",On Hong Kong this year it took on a slightly different connotation .,took on
"['get', 'out']",J/JY/JYE.xml,2317,false,0.6757,"['This', 'light-hearted', 'banter', 'was', 'amusing', ',', 'but', 'she', 'must', ""n't"", 'let', 'it', 'get', 'out', 'of', 'hand', '.']","[12, 13]","['get', 'out']","This light-hearted banter was amusing , but she must n't let it get out of hand .",get out
"['make', 'for']",E/EF/EF0.xml,1594,true,1.0,"['Don', 'Cupitt', 'indeed', 'suggests', 'that', 'the', 'fact', 'that', 'Jesus', ',', 'a', 'human', 'being', ',', 'came', 'to', 'be', 'seen', 'as', 'God', ',', 'made', 'for', 'a', 'situation', 'whereby', 'God', 'the', 'Father', 'also', 'was', 'conceived', 'more', 'anthropomorphically', 'than', 'was', 'the', 'case', 'within', 'the', 'Jewish', 'background', '.']","[21, 22]","['made', 'for']","Don Cupitt indeed suggests that the fact that Jesus , a human being , came to be seen as God , made for a situation whereby God the Father also was conceived more anthropomorphically than was the case within the Jewish background .",made for
"['get', 'on', 'with']",C/CB/CBC.xml,271,true,0.6866,"['We', 'get', 'on', 'with', 'life', 'and', 'take', 'pleasure', 'in', 'things', 'whether', 'she', ""'s"", 'ill', 'or', 'not', '.']","[1, 2, 3]","['get', 'on', 'with']",We get on with life and take pleasure in things whether she 's ill or not .,get on with
"['give', 'in']",C/CK/CK3.xml,610,false,1.0,"['You', 'ca', ""n't"", 'knit', 'circular', 'rows', 'using', 'the', 'settings', 'given', 'in', 'Figure', 'when', 'using', 'a', 'punchcard', '.']","[9, 10]","['given', 'in']",You ca n't knit circular rows using the settings given in Figure when using a punchcard .,given in
"['make', 'for']",G/GX/GXF.xml,219,false,0.6354,"['An', 'international', 'reciprocity', 'agreement', 'has', 'been', 'signed', 'with', 'the', 'American', 'Council', 'for', 'Construction', 'Education', 'ACCE', 'and', 'arrangements', 'made', 'for', 'developing', 'Institute', 'Membership', 'in', 'the', 'United', 'States', '.']","[17, 18]","['made', 'for']",An international reciprocity agreement has been signed with the American Council for Construction Education ACCE and arrangements made for developing Institute Membership in the United States .,made for
"['make', 'out']",A/AP/APJ.xml,71,true,1.0,"['At', 'the', 'initial', 'sessions', ',', 'a', 'registry', 'sheet', 'is', 'made', 'out', 'and', 'photos', 'and', 'videos', 'are', 'made', '.']","[9, 10]","['made', 'out']","At the initial sessions , a registry sheet is made out and photos and videos are made .",made out
"['get', 'over']",C/CD/CDM.xml,1500,true,1.0,"['It', 'was', 'jealousy', ',', 'I', 'suppose', ';', 'the', 'fact', 'that', 'I', 'had', 'spotted', 'a', 'chance', 'they', 'had', 'not', ',', 'although', 'I', 'could', ""n't"", 'get', 'over', 'the', 'suspicion', 'that', 'their', 'reaction', 'to', 'me', 'had', 'something', 'to', 'do', 'with', 'how', 'Liza', 'had', 'told', 'the', 'story', '.']","[23, 24]","['get', 'over']","It was jealousy , I suppose ; the fact that I had spotted a chance they had not , although I could n't get over the suspicion that their reaction to me had something to do with how Liza had told the story .",get over
"['get', 'on', 'with']",C/CG/CG0.xml,1204,true,1.0,"['I', 'was', 'told', 'that', 'only', 'about', 'one-quarter', 'of', 'the', 'students', 'at', 'institutes', 'of', 'higher', 'education', 'in', 'Beijing', 'were', 'actually', 'getting', 'on', 'with', 'their', 'studies', 'and', 'many', 'of', 'these', 'were', 'motivated', 'solely', 'by', 'the', 'desire', 'to', 'go', 'abroad', '.']","[19, 20, 21]","['getting', 'on', 'with']",I was told that only about one-quarter of the students at institutes of higher education in Beijing were actually getting on with their studies and many of these were motivated solely by the desire to go abroad .,getting on with
"['have', 'on']",F/FP/FPG.xml,1676,false,1.0,"['What', 'effect', 'does', 'the', 'size', 'of', 'the', 'record', 'key', 'have', 'on', 'index', 'size', '?']","[9, 10]","['have', 'on']",What effect does the size of the record key have on index size ?,have on
"['have', 'on']",F/FA/FAF.xml,578,false,1.0,"['Such', 'data', 'are', 'relevant', 'when', 'looking', 'at', 'the', 'impact', 'trade', 'unions', 'may', 'be', 'able', 'to', 'have', 'on', 'the', 'national', 'political', 'process', '.']","[15, 16]","['have', 'on']",Such data are relevant when looking at the impact trade unions may be able to have on the national political process .,have on
"['have', 'on']",H/HL/HLT.xml,1171,false,1.0,"['The', 'US', 'State', 'Department', 'had', 'on', 'Dec.', 'provided', 'the', 'UN', 'commission', 'investigating', 'war', 'crimes', 'in', 'Bosnia', 'with', 'documented', 'information', 'on', 'atrocities', 'committed', 'largely', 'by', 'Serbs', 'against', 'Moslems', 'in', 'Bosnia', '.']","[4, 5]","['had', 'on']",The US State Department had on Dec. provided the UN commission investigating war crimes in Bosnia with documented information on atrocities committed largely by Serbs against Moslems in Bosnia .,had on
"['get', 'on']",E/EW/EWC.xml,913,true,0.3491,"[""Let's"", 'get', 'on', '.', '""']","[1, 2]","['get', 'on']","Let's get on . """,get on
"['make', 'for']",C/CH/CHG.xml,237,true,1.0,"['I', 'prepared', 'to', 'collect', 'the', 'rest', 'of', 'my', 'medicines', 'and', 'make', 'for', 'the', 'hospital', ',', 'when', 'the', 'policeman', 'said', 'to', 'me', ',', 'Excuse', 'me', ',', 'sir', '.']","[10, 11]","['make', 'for']","I prepared to collect the rest of my medicines and make for the hospital , when the policeman said to me , Excuse me , sir .",make for
"['get', 'out']",H/HE/HEH.xml,230,true,0.6905,"['And', 'I', 'put', 'balanced', 'it', 'out', 'across', 'this', ',', 'and', 'I', 'set', 'my', 'camera', 'down', 'er', 'down', 'below', ',', 'on', 'a', 'time', 'exposure', 'which', 'runs', 'off', 'in', 'about', 'one', 'minute', ',', 'so', 'I', 'had', 'one', 'minute', 'to', 'run', 'up', 'the', 'side', 'of', 'the', 'thing', 'and', 'get', 'out', 'here', 'and', 'balance', 'myself', '.']","[45, 46]","['get', 'out']","And I put balanced it out across this , and I set my camera down er down below , on a time exposure which runs off in about one minute , so I had one minute to run up the side of the thing and get out here and balance myself .",get out
"['get', 'through']",G/G0/G06.xml,2413,true,0.6512,"['I', 'had', 'no', 'desire', 'to', 'go', 'out', ',', 'but', 'it', 'would', 'be', 'one', 'way', 'of', 'getting', 'through', 'the', 'evening', '.']","[15, 16]","['getting', 'through']","I had no desire to go out , but it would be one way of getting through the evening .",getting through
"['get', 'out']",H/HR/HR7.xml,389,false,0.6719,"[""Let's"", 'get', 'out', 'of', 'here', ',', 'huh', '?']","[1, 2]","['get', 'out']","Let's get out of here , huh ?",get out
"['take', 'on']",G/G0/G0R.xml,1039,true,0.6742,"['On', 'the', 'contrary', ',', 'if', 'the', 'student', 'body', 'were', 'to', 'take', 'its', 'right', 'to', 'learn', 'Lernfreiheit', 'seriously', ',', 'and', 'were', 'to', 'be', 'vigilant', 'in', 'seeing', 'that', 'it', 'enjoyed', 'the', 'kinds', 'of', 'academic', 'freedom', 'I', 'spelt', 'out', 'earlier', ',', 'it', 'would', 'necessarily', 'take', 'on', 'an', 'assertive', 'role', '.']","[41, 42]","['take', 'on']","On the contrary , if the student body were to take its right to learn Lernfreiheit seriously , and were to be vigilant in seeing that it enjoyed the kinds of academic freedom I spelt out earlier , it would necessarily take on an assertive role .",take on
"['take', 'on']",F/FB/FB1.xml,1372,true,0.6773,"['In', 'the', 'case', 'of', 'Russia', ',', 'revisionist', 'research', 'has', 'underlined', 'the', 'manner', 'in', 'which', 'the', 'specific', 'nature', 'of', 'the', 'tsarist', 'regime', 'conditioned', 'the', 'decision', 'to', 'take', 'on', 'the', 'Central', 'Powers', '.']","[25, 26]","['take', 'on']","In the case of Russia , revisionist research has underlined the manner in which the specific nature of the tsarist regime conditioned the decision to take on the Central Powers .",take on
"['get', 'on', 'with']",J/JA/JA8.xml,1,true,1.0,"['Getting', 'on', 'with', 'what', 'you', 'should', 'be', 'doing', 'that', 'can', 'only', 'see', 'a', 'few', 'people', 'doing', 'that', 'who', 'are', 'actually', 'getting', 'on', 'with', 'what', 'they', 'should', 'have', 'been', 'doing', 'while', 'you', 'are', 'waiting', '.']","[20, 21, 22]","['getting', 'on', 'with']",Getting on with what you should be doing that can only see a few people doing that who are actually getting on with what they should have been doing while you are waiting .,getting on with
"['give', 'in']",G/GV/GV8.xml,608,true,1.0,"['How', 'many', 'Englishmen', 'gave', 'in', 'to', 'their', 'emotions', 'like', 'that', '?']","[3, 4]","['gave', 'in']",How many Englishmen gave in to their emotions like that ?,gave in
"['get', 'on', 'with']",C/C9/C98.xml,648,true,1.0,"['Come', 'along', 'the', 'sooner', 'we', 'get', 'on', 'with', 'it', 'the', 'sooner', 'we', 'shall', 'finish', '.']","[5, 6, 7]","['get', 'on', 'with']",Come along the sooner we get on with it the sooner we shall finish .,get on with
"['get', 'down', 'to']",A/A0/A0F.xml,1806,true,1.0,"['I', ""'ll"", 'get', 'you', 'some', 'sandwiches', 'and', 'some', 'more', 'tea', 'and', 'once', 'you', ""'ve"", 'eaten', 'we', 'can', 'get', 'down', 'to', 'some', 'practical', 'thinking', 'about', 'what', 'you', 'can', 'do', 'next', '.']","[17, 18, 19]","['get', 'down', 'to']",I 'll get you some sandwiches and some more tea and once you 've eaten we can get down to some practical thinking about what you can do next .,get down to
"['make', 'for']",H/HD/HD1.xml,717,true,1.0,"['Court', 'permission', 'has', 'been', 'granted', 'to', 'sell', 'the', 'property', 'and', 'advice', 'is', 'being', 'sought', 'as', 'to', 'the', 'best', 'way', 'to', 'approach', 'this', 'but', 'the', 'state', 'of', 'the', 'building', 'and', 'the', 'effects', 'of', 'the', 'economic', 'situation', 'do', 'not', 'make', 'for', 'easy', 'decisions', '.']","[37, 38]","['make', 'for']",Court permission has been granted to sell the property and advice is being sought as to the best way to approach this but the state of the building and the effects of the economic situation do not make for easy decisions .,make for
"['give', 'in']",G/GS/GSX.xml,1421,true,1.0,"['In', 'a', 'verse', 'autobiography', 'which', 'survives', 'in', 'two', 'manuscripts', ',', 'she', 'characterizes', 'herself', 'as', 'Fidelia', ',', 'and', 'the', 'political', 'and', 'theological', 'reasons', 'for', 'her', 'conversion', 'are', 'given', 'in', 'powerful', 'Drydenesque', 'polemic', '.']","[26, 27]","['given', 'in']","In a verse autobiography which survives in two manuscripts , she characterizes herself as Fidelia , and the political and theological reasons for her conversion are given in powerful Drydenesque polemic .",given in
"['make', 'for']",J/J2/J28.xml,33,false,0.7463,"['There', 'will', 'also', 'be', 'about', 'contemporary', 'masks', ',', 'bought', 'or', 'specially', 'made', 'for', 'the', 'display', ',', 'and', 'dozens', 'of', 'comics', 'featuring', 'masked', 'characters', '.']","[11, 12]","['made', 'for']","There will also be about contemporary masks , bought or specially made for the display , and dozens of comics featuring masked characters .",made for
"['take', 'on']",J/JN/JNB.xml,536,true,1.0,"['So', 'they', 'are', 'observations', 'and', 'it', 'is', 'my', 'feeling', 'that', 'this', 'motion', 'has', 'taken', 'on', 'significantly', 'more', 'importance', 'than', 'its', 'content', 'or', 'indeed', 'its', 'effect', '.']","[13, 14]","['taken', 'on']",So they are observations and it is my feeling that this motion has taken on significantly more importance than its content or indeed its effect .,taken on
"['get', 'through']",G/G0/G0Y.xml,908,true,0.6781,"['Eventually', 'Helen', 'got', 'through', ';', 'Louise', 'was', 'in', 'a', 'meeting', ',', 'she', 'was', 'told', ',', 'and', 'could', 'not', 'be', 'reached', '.']","[2, 3]","['got', 'through']","Eventually Helen got through ; Louise was in a meeting , she was told , and could not be reached .",got through
"['make', 'for']",G/GW/GW0.xml,401,true,0.7269,"['Mostly', 'they', ""'d"", 'make', 'for', 'the', 'West', 'End', 'and', 'meet', 'others', 'like', 'themselves', ';', 'they', ""'d"", 'pick', 'up', 'survival', 'information', ',', 'get', 'oriented', 'within', 'the', 'subculture', 'that', 'they', ""'d"", 'entered', ',', 'and', 'learn', 'where', 'the', 'free', 'food', 'could', 'be', 'picked', 'up', '.']","[3, 4]","['make', 'for']","Mostly they 'd make for the West End and meet others like themselves ; they 'd pick up survival information , get oriented within the subculture that they 'd entered , and learn where the free food could be picked up .",make for
"['get', 'out']",H/HH/HHA.xml,1274,true,0.6697,"['But', 'he', 'was', ""n't"", 'going', 'to', 'get', 'out', 'of', 'it', 'by', 'trying', 'to', 'put', 'her', 'in', 'the', 'wrong', '.']","[6, 7]","['get', 'out']",But he was n't going to get out of it by trying to put her in the wrong .,get out
"['get', 'off']",K/KD/KDA.xml,5758,true,1.0,"['She', 'said', ',', 'do', 'me', 'a', 'favour', 'and', 'get', 'off', 'my', 'back', '!']","[8, 9]","['get', 'off']","She said , do me a favour and get off my back !",get off
"['make', 'out']",H/H9/H9N.xml,837,true,1.0,"['Martinho', 'encouraged', 'him', 'in', 'this', 'opinion-he', 'liked', 'to', 'make', 'out', 'that', 'the', 'organisation', 'had', 'been', 'moderate', 'until', 'hijacked', 'by', 'extremists', 'who', 'believed', 'in', 'violence', '.']","[8, 9]","['make', 'out']",Martinho encouraged him in this opinion-he liked to make out that the organisation had been moderate until hijacked by extremists who believed in violence .,make out
"['take', 'on']",H/HT/HTY.xml,1454,true,1.0,"['The', 'dungeon', 'had', 'taken', 'on', 'the', 'squalid', 'smell', 'of', 'the', 'cave', 'back', 'in', 'hell', '.']","[3, 4]","['taken', 'on']",The dungeon had taken on the squalid smell of the cave back in hell .,taken on
"['take', 'on']",K/K4/K4V.xml,3064,true,1.0,"['Senior', 'lecture', 'Adrian', 'Evans', 'said', 'it', 'was', 'tragic', 'that', 'companies', 'were', 'failing', 'to', 'recognise', 'the', 'mutual', 'benefits', 'of', 'taking', 'on', 'a', 'student', 'for', 'a', 'year', '.']","[18, 19]","['taking', 'on']",Senior lecture Adrian Evans said it was tragic that companies were failing to recognise the mutual benefits of taking on a student for a year .,taking on
